All are total faces.
Top: 21945 	 Side: 210 	 Total: 22155 	 n-gon: 422
Top: 22155 	 Side: 211 	 Total: 22366 	 n-gon: 424
Top: 22366 	 Side: 212 	 Total: 22578 	 n-gon: 426
Top: 22578 	 Side: 213 	 Total: 22791 	 n-gon: 428
Top: 22791 	 Side: 214 	 Total: 23005 	 n-gon: 430
Top: 23005 	 Side: 215 	 Total: 23220 	 n-gon: 432
Top: 23220 	 Side: 216 	 Total: 23436 	 n-gon: 434
Top: 23436 	 Side: 217 	 Total: 23653 	 n-gon: 436
Top: 23653 	 Side: 218 	 Total: 23871 	 n-gon: 438
Top: 23871 	 Side: 219 	 Total: 24090 	 n-gon: 440
Top: 24090 	 Side: 220 	 Total: 24310 	 n-gon: 442
Top: 24310 	 Side: 221 	 Total: 24531 	 n-gon: 444
Top: 24531 	 Side: 222 	 Total: 24753 	 n-gon: 446
Top: 24753 	 Side: 223 	 Total: 24976 	 n-gon: 448
Top: 24976 	 Side: 224 	 Total: 25200 	 n-gon: 450
Top: 25200 	 Side: 225 	 Total: 25425 	 n-gon: 452
Top: 25425 	 Side: 226 	 Total: 25651 	 n-gon: 454
Top: 25651 	 Side: 227 	 Total: 25878 	 n-gon: 456
Top: 25878 	 Side: 228 	 Total: 26106 	 n-gon: 458
Top: 26106 	 Side: 229 	 Total: 26335 	 n-gon: 460
Top: 26335 	 Side: 230 	 Total: 26565 	 n-gon: 462
Top: 26565 	 Side: 231 	 Total: 26796 	 n-gon: 464
Top: 26796 	 Side: 232 	 Total: 27028 	 n-gon: 466
Top: 27028 	 Side: 233 	 Total: 27261 	 n-gon: 468
Top: 27261 	 Side: 234 	 Total: 27495 	 n-gon: 470
Top: 27495 	 Side: 235 	 Total: 27730 	 n-gon: 472
Top: 27730 	 Side: 236 	 Total: 27966 	 n-gon: 474
Top: 27966 	 Side: 237 	 Total: 28203 	 n-gon: 476
Top: 28203 	 Side: 238 	 Total: 28441 	 n-gon: 478
Top: 28441 	 Side: 239 	 Total: 28680 	 n-gon: 480
Top: 28680 	 Side: 240 	 Total: 28920 	 n-gon: 482
Top: 28920 	 Side: 241 	 Total: 29161 	 n-gon: 484
Top: 29161 	 Side: 242 	 Total: 29403 	 n-gon: 486
Top: 29403 	 Side: 243 	 Total: 29646 	 n-gon: 488
Top: 29646 	 Side: 244 	 Total: 29890 	 n-gon: 490
Top: 29890 	 Side: 245 	 Total: 30135 	 n-gon: 492
Top: 30135 	 Side: 246 	 Total: 30381 	 n-gon: 494
Top: 30381 	 Side: 247 	 Total: 30628 	 n-gon: 496
Top: 30628 	 Side: 248 	 Total: 30876 	 n-gon: 498
Top: 30876 	 Side: 249 	 Total: 31125 	 n-gon: 500
Top: 31125 	 Side: 250 	 Total: 31375 	 n-gon: 502
Top: 31375 	 Side: 251 	 Total: 31626 	 n-gon: 504
Top: 31626 	 Side: 252 	 Total: 31878 	 n-gon: 506
Top: 31878 	 Side: 253 	 Total: 32131 	 n-gon: 508
Top: 32131 	 Side: 254 	 Total: 32385 	 n-gon: 510
Top: 32385 	 Side: 255 	 Total: 32640 	 n-gon: 512
Top: 32640 	 Side: 256 	 Total: 32896 	 n-gon: 514
Top: 32896 	 Side: 257 	 Total: 33153 	 n-gon: 516
Top: 33153 	 Side: 258 	 Total: 33411 	 n-gon: 518
Top: 33411 	 Side: 259 	 Total: 33670 	 n-gon: 520
Top: 33670 	 Side: 260 	 Total: 33930 	 n-gon: 522
Top: 33930 	 Side: 261 	 Total: 34191 	 n-gon: 524
Top: 34191 	 Side: 262 	 Total: 34453 	 n-gon: 526
Top: 34453 	 Side: 263 	 Total: 34716 	 n-gon: 528
Top: 34716 	 Side: 264 	 Total: 34980 	 n-gon: 530
Top: 34980 	 Side: 265 	 Total: 35245 	 n-gon: 532
Top: 35245 	 Side: 266 	 Total: 35511 	 n-gon: 534
Top: 35511 	 Side: 267 	 Total: 35778 	 n-gon: 536
Top: 35778 	 Side: 268 	 Total: 36046 	 n-gon: 538
Top: 36046 	 Side: 269 	 Total: 36315 	 n-gon: 540
Top: 36315 	 Side: 270 	 Total: 36585 	 n-gon: 542
Top: 36585 	 Side: 271 	 Total: 36856 	 n-gon: 544
Top: 36856 	 Side: 272 	 Total: 37128 	 n-gon: 546
Top: 37128 	 Side: 273 	 Total: 37401 	 n-gon: 548
Top: 37401 	 Side: 274 	 Total: 37675 	 n-gon: 550
Top: 37675 	 Side: 275 	 Total: 37950 	 n-gon: 552
Top: 37950 	 Side: 276 	 Total: 38226 	 n-gon: 554
Top: 38226 	 Side: 277 	 Total: 38503 	 n-gon: 556
Top: 38503 	 Side: 278 	 Total: 38781 	 n-gon: 558
Top: 38781 	 Side: 279 	 Total: 39060 	 n-gon: 560
Top: 39060 	 Side: 280 	 Total: 39340 	 n-gon: 562
Top: 39340 	 Side: 281 	 Total: 39621 	 n-gon: 564
Top: 39621 	 Side: 282 	 Total: 39903 	 n-gon: 566
Top: 39903 	 Side: 283 	 Total: 40186 	 n-gon: 568
Top: 40186 	 Side: 284 	 Total: 40470 	 n-gon: 570
Top: 40470 	 Side: 285 	 Total: 40755 	 n-gon: 572
Top: 40755 	 Side: 286 	 Total: 41041 	 n-gon: 574
Top: 41041 	 Side: 287 	 Total: 41328 	 n-gon: 576
Top: 41328 	 Side: 288 	 Total: 41616 	 n-gon: 578
Top: 41616 	 Side: 289 	 Total: 41905 	 n-gon: 580
Top: 41905 	 Side: 290 	 Total: 42195 	 n-gon: 582
